Name,Make,Model,Odometer,Body_type,Transmission,Auctioneer,Link_to_auction,Unique_identifers,Hours_to_auction,State,Build_Date,Fuel
HONDA ODYSSEY LUXURY 3RD GEN FWD,HONDA,ODYSSEY,"233,208",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2979374/2004-honda-odyssey-luxury-3rd-gen?filterid=2442542442,"2004 HONDA ODYSSEY LUXURY 3RD GEN FWD HONDA 233,208",0,QLD,2004,PETROL
FORD FOCUS SPORT LW MKII FWD,FORD,FOCUS,"214,316",HATCHBACK,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2982657/2014-ford-focus-sport-lw-mkii?filterid=2442542442,"2014 FORD FOCUS SPORT LW MKII FWD FORD 214,316",0,QLD,2014,PETROL
MAZDA BT-50 XT DUAL CAB UP0YF1 4WD DIESEL,MAZDA,BT-50,"265,622",CHASSIS,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2801422/2012-mazda-bt-50-xt-dual-cab-up0yf1?filterid=2442542442,"2012 MAZDA BT-50 XT DUAL CAB UP0YF1 4WD DIESEL MAZDA 265,622",0,QLD,2012,DIESEL
SUBARU XV 2.0I-L G4X MY13 4WD,SUBARU,XV,"148,713",HATCHBACK,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2982615/2014-subaru-xv-2-0i-l-g4x-my13?filterid=2442542442,"2014 SUBARU XV 2.0I-L G4X MY13 4WD SUBARU 148,713",0,QLD,2014,PETROL
BMW 3 SERIES 325I E92 MY09 RWD,BMW,3,"138,001",COUPE,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2976146/2010-bmw-3-series-325i-e92-my09?filterid=2442542442,"2010 BMW 3 SERIES 325I E92 MY09 RWD BMW 138,001",0,QLD,2010,PETROL
HOLDEN CRUZE SRI-V JH SERIES II FWD,HOLDEN,CRUZE,"234,733",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2982927/2011-holden-cruze-sri-v-jh-series-ii?filterid=2442542442,"2011 HOLDEN CRUZE SRI-V JH SERIES II FWD HOLDEN 234,733",0,VIC,2011,PETROL
BMW 3 SERIES 325I E90 RWD,BMW,3,"129,602",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2983527/2006-bmw-3-series-325i-e90?filterid=2442542442,"2006 BMW 3 SERIES 325I E90 RWD BMW 129,602",0,VIC,2006,PETROL
SUBARU TRIBECA R PREMIUM PACK B9 MY09 4WD,SUBARU,TRIBECA,"213,077",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2978927/2010-subaru-tribeca-r-premium-pack-b9-my09?filterid=2442542442,"2010 SUBARU TRIBECA R PREMIUM PACK B9 MY09 4WD SUBARU 213,077",0,VIC,2010,PETROL
HYUNDAI IX35 SE LM MY12 FWD,HYUNDAI,IX35,"227,928",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2979135/2012-hyundai-ix35-se-lm-my12?filterid=2442542442,"2012 HYUNDAI IX35 SE LM MY12 FWD HYUNDAI 227,928",0,VIC,2012,PETROL
VOLVO XC60 T5 DZ MY11 FWD,VOLVO,XC60,"206,705",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2964352/2011-volvo-xc60-t5-dz-my11?filterid=2442542442,"2011 VOLVO XC60 T5 DZ MY11 FWD VOLVO 206,705",0,VIC,2011,PETROL
SUZUKI SWIFT GL FZ FWD,SUZUKI,SWIFT,"187,304",HATCHBACK,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2980788/2012-suzuki-swift-gl-fz?filterid=2442542442,"2012 SUZUKI SWIFT GL FZ FWD SUZUKI 187,304",0,VIC,2012,PETROL
FORD FIESTA ZETEC WT FWD,FORD,FIESTA,"107,896",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2982202/2012-ford-fiesta-zetec-wt?filterid=2442542442,"2012 FORD FIESTA ZETEC WT FWD FORD 107,896",0,VIC,2012,PETROL
FORD FALCON UTE EXTENDED CAB FG RWD LPG,FORD,FALCON,"200,557",CHASSIS,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2982218/2010-ford-falcon-ute-extended-cab-fg?filterid=2442542442,"2010 FORD FALCON UTE EXTENDED CAB FG RWD LPG FORD 200,557",0,VIC,2010,LPG
MAZDA 3 SP23 BK1031 FWD,MAZDA,3,"212,654",SEDAN,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2985701/2005-mazda-3-sp23-bk1031?filterid=2442542442,"2005 MAZDA 3 SP23 BK1031 FWD MAZDA 212,654",0,VIC,2005,PETROL
